COMMAND     PID             USER   FD      TYPE             DEVICE   SIZE/OFF                NODE NAME
loginwind   386 tokuyamamorimasa  txt       REG               1,16     900516 1152921500312159839 /System/Library/Fonts/ADTNumeric.ttc
loginwind   386 tokuyamamorimasa  txt       REG               1,16    7250144 1152921500312160568 /System/Library/Fonts/ヒラギノ角ゴシック W5.ttc
loginwind   386 tokuyamamorimasa  txt       REG               1,16    1513032 1152921500312147645 /System/Library/Extensions/AGXMetal13_3.bundle/Contents/Resources/ds.g13g
loginwind   386 tokuyamamorimasa  txt       REG               1,16     294744 1152921500312336372 /System/Library/PrivateFrameworks/LoginUIKit.framework/Versions/A/Resources/Assets.car
loginwind   386 tokuyamamorimasa  txt       REG               1,16     467144 1152921500312300382 /System/Library/PrivateFrameworks/CoreNLP.framework/Versions/A/Resources/tokruleLE.data
loginwind   386 tokuyamamorimasa  txt       REG               1,16     262560 1152921500312534295 /usr/share/tokenizer/ja/char.bin
loginwind   386 tokuyamamorimasa  txt       REG               1,16       5307 1152921500312534303 /usr/share/tokenizer/ja/unk.dic
loginwind   386 tokuyamamorimasa  txt       REG               1,16      95176 1152921500312288429 /System/Library/PrivateFrameworks/BatteryUIKit.framework/Versions/A/Resources/Assets.car
loginwind   386 tokuyamamorimasa  txt       REG               1,16  104862280 1152921500312353500 /System/Library/PrivateFrameworks/SFSymbols.framework/Versions/A/Resources/CoreGlyphs.bundle/Contents/Resources/Assets.car
loginwind   386 tokuyamamorimasa  txt       REG               1,16   27971344 1152921500312520426 /usr/share/langid/langid.inv
loginwind   386 tokuyamamorimasa  txt       REG               1,16   41549514 1152921500312534301 /usr/share/tokenizer/ja/sys.dic
loginwind   386 tokuyamamorimasa  txt       REG               1,16   71784166 1152921500312534299 /usr/share/tokenizer/ja/matrix.bin
loginwind   386 tokuyamamorimasa    0r      CHR                3,2        0t0                 338 /dev/null
loginwind   386 tokuyamamorimasa    1u      CHR                3,2        0t0                 338 /dev/null
loginwind   386 tokuyamamorimasa    2u      CHR                3,2   0t589558                 338 /dev/null
loginwind   386 tokuyamamorimasa    3u     unix 0x9115f7317ac0d207        0t0                     ->0x9115f7317ac099c7
loginwind   386 tokuyamamorimasa    4r      REG               1,16    2368536 1152921500312218908 /System/Library/Frameworks/SceneKit.framework/Versions/A/Resources/default.metallib
loginwind   386 tokuyamamorimasa    5u     IPv4 0x9115f7231425970f        0t0                 UDP *:*
loginwind   386 tokuyamamorimasa    6r      REG               1,16    7321300 1152921500312281235 /System/Library/PrivateFrameworks/AvatarKit.framework/Versions/A/Resources/default.metallib
loginwind   386 tokuyamamorimasa    7r      REG               1,16     167052 1152921500312170732 /System/Library/Frameworks/CoreImage.framework/Versions/A/Resources/ci_stdlib.metallib
loginwind   386 tokuyamamorimasa    8u      REG               1,16      16384              496953 /private/var/folders/84/s8rqb2lj6kj4xs5t6z97yx1c0000gn/C/com.apple.loginwindow/com.apple.metal/16777235_322/functions.data
loginwind   386 tokuyamamorimasa    9u      REG               1,16        492            30384906 /private/var/folders/84/s8rqb2lj6kj4xs5t6z97yx1c0000gn/C/com.apple.loginwindow/com.apple.metal/16777235_322/functions.list
